id_transaccion,fecha,categoria_producto,nombre_producto,region,segmento_cliente,precio,cantidad,porcentaje_descuento,tasa_impuesto,monto_total,margen_ganancia,costo_envio,nivel_inventario,satisfaccion_cliente,precio_competidor,cuota_mercado,gasto_publicidad,trafico_web,tasa_conversion,cliente_frecuente,metodo_pago,tiempo_procesamiento,tiempo_entrega,calificacion_producto,demanda_estacional,ubicacion_tienda,ventas_linea,ventas_offline,reputacion_marca,valor_vida_cliente,intentos_fallidos,velocidad_compra,diferencia_precio,compra_fuera_horario,transacciones_multiples_ubicaciones,cambios_direccion,es_fraude
1,2025-01-15,Electrónica,Laptop Pro,Norte,Premium,1299.99,2,5.0,8.5,2470.49,35,45.00,127,9.2,1349.99,14.5,2500,45600,18.5,Si,Tarjeta Crédito,2,3,4.8,Alto,Nueva York,1899.99,0,92,5420.50,0,Normal,50,0,No,No,No
2,2025-01-16,Hogar y Jardín,Termostato Inteligente,Sur,Estándar,199.99,5,10.0,7.2,886.45,28,15.50,340,8.1,189.99,12.3,1200,23400,12.1,No,Tarjeta Débito,3,5,4.2,Medio,Miami,999.95,0,78,1245.75,0,Normal,10,0,No,No,No
3,2025-01-17,Ropa,Camiseta de Algodón,Oeste,Presupuesto,29.99,12,15.0,6.8,308.82,42,8.00,892,7.8,24.99,8.9,450,12300,8.5,Si,PayPal,1,2,4.1,Alto,Los Ángeles,359.88,0,65,342.50,0,Normal,5,0,No,No,No
4,2025-01-18,Belleza y Cuidado Personal,Crema Facial Orgánica,Este,Premium,89.99,3,0.0,8.1,261.42,38,12.30,156,9.5,95.99,16.7,1800,34500,16.2,Si,Apple Pay,2,4,4.9,Bajo,Boston,269.97,0,88,2156.30,0,Normal,6,0,No,No,No
5,2025-01-19,Deportes y Aire Libre,Bicicleta Fibra Carbono,Norte,Premium,899.99,1,8.0,7.9,841.99,32,55.60,45,8.9,929.99,11.2,3200,52100,22.3,No,Transferencia Bancaria,4,6,4.6,Medio,Chicago,0,841.99,85,4280.65,0,Normal,30,0,No,No,No
6,2025-01-20,Electrónica,Auriculares Inalámbricos,Sur,Estándar,149.99,8,12.0,8.2,1041.52,45,18.75,523,8.4,139.99,13.8,980,18900,11.5,Si,Tarjeta Crédito,2,3,4.3,Alto,Austin,1199.92,0,81,1856.20,0,Normal,10,0,No,No,No
7,2025-01-21,Libros y Medios,Novela de Ciencia Ficción,Oeste,Presupuesto,19.99,25,20.0,5.5,399.80,55,5.50,1250,7.5,17.99,9.1,200,8500,6.3,No,Tarjeta Débito,1,7,3.9,Bajo,Denver,499.75,0,72,185.40,0,Normal,2,0,No,No,No
8,2025-01-22,Hogar y Jardín,Luz LED para Plantas,Este,Estándar,129.99,4,6.0,7.8,480.96,31,22.40,287,8.2,134.99,14.2,1500,28600,14.8,Si,Tarjeta Crédito,3,4,4.4,Alto,Washington,519.96,0,79,1564.78,0,Normal,5,0,No,No,No
9,2025-01-23,Muebles,Silla Ergonómica,Norte,Premium,450.00,1,3.0,8.6,437.01,26,35.20,78,9.1,465.00,12.8,2800,48700,19.5,No,Transferencia Bancaria,3,5,4.7,Medio,Seattle,0,437.01,89,3245.60,0,Normal,15,0,No,No,No
10,2025-01-24,Belleza y Cuidado Personal,Set de Champú,Sur,Estándar,39.99,15,5.0,7.1,563.36,48,9.80,687,8.0,36.99,11.5,650,14200,9.8,Si,PayPal,1,3,4.0,Alto,Miami,599.85,0,75,892.50,2,Rápido,3,1,Si,Si,Si
